time(s),center_temperature(°C)
182.5,177.86402187534205
183.0,177.94715024329074
183.5,178.29817764429686
184.0,179.1505827902054
184.5,180.01409166234353
185.0,180.86438665352452
185.5,181.70166825720128
186.0,182.52613394635566
186.5,183.3379782187274
187.0,184.13739264136953
187.5,184.92456589454005
188.0,185.6996838149394
188.5,186.46211398316188
189.0,187.21260674974096
189.5,187.95161469161405
190.0,188.67931207212558
190.5,189.3958705292496
191.0,190.1014591149034
191.5,190.79624433367562
192.0,191.48039018097685
192.5,192.15405818062257
193.0,192.81646211327214
193.5,193.4687302474101
194.0,194.11101636452503
194.5,194.7434719294654
195.0,195.36624612512838
195.5,195.97948588663147
196.0,196.5833359349749
196.5,197.17793881020316
197.0,197.7632265389998
197.5,198.33893514227915
198.0,198.90583422971727
198.5,199.46405746393887
199.0,200.01373649396314
199.5,200.55500098535478
200.0,201.08797864992647
200.5,201.612795274999
201.0,202.12957475222476
201.5,202.63807678815417
202.0,203.13843667029786
202.5,203.63113977422907
203.0,204.11630227580173
203.5,204.59403860065876
204.0,205.06446145044032
204.5,205.52768182860126
205.0,205.983809065844
205.5,206.43295084517294
206.0,206.8747407114078
206.5,207.30961345487515
207.0,207.79248566035074
207.5,208.2860735260805
208.0,208.5907196093732
208.5,208.91709104186558
209.0,209.26498395991038
209.5,209.6341963990966
210.0,210.02452827666363
210.5,210.41216379799454
211.0,210.653117467365
211.5,211.12507032455403
212.0,211.59205265396054
212.5,212.054116356793
213.0,212.5113127962006
213.5,212.9636928028172
214.0,213.41130668024866
214.5,213.8540957467532
215.0,214.2918975241139
215.5,214.72508917938762
216.0,215.15371884414995
216.5,215.57783415105274
217.0,215.99748223896398
217.5,216.41270975805568
218.0,216.82356287483944
218.5,217.23008727715015
219.0,217.63213111612828
219.5,218.02974478760234
220.0,218.4231714292422
220.5,218.81245475618917
221.0,219.19763803043318
221.5,219.5787640654819
222.0,219.95587523098158
222.5,220.32901345729059
223.0,220.6982202400064
223.5,221.06326811828131
224.0,221.42438273771566
224.5,221.78169459062224
225.0,222.13524338094703
225.5,222.48506840105858
226.0,222.83120853598814
226.5,223.17370226762696
227.0,223.51258767888044
227.5,223.84790245777924
228.0,224.17935865274154
228.5,224.5073246404965
229.0,224.83183685956092
229.5,225.1529313707419
230.0,225.47064386102826
230.5,225.7850096474422
231.0,226.0960636808512
231.5,226.4038405497412
232.0,226.70829990486556
232.5,227.00933002708553
233.0,227.3071902544191
233.5,227.6019136818761
234.0,227.893533061409
234.5,228.18208080544707
235.0,228.4675889903951
235.5,228.75008936009544
236.0,229.02961332925506
236.5,229.30605648742355
237.0,229.5794534864987
237.5,229.84997150662053
238.0,230.11764060608263
238.5,230.3824905315941
239.0,230.64455072149002
239.5,230.9038503089089
240.0,231.16041812493717
240.5,231.4142827017222
241.0,231.66528763842138
241.5,231.91358808772307
242.0,232.1592737754321
242.5,232.40237200176594
243.0,232.6429097839436
243.5,232.8809138591012
244.0,233.116410687178
244.5,233.34942645377265
245.0,233.5799870729702
245.5,233.80789455082828
246.0,234.0334021811834
246.5,234.2565350189616
247.0,234.47731785937785
247.5,234.69577524061165
248.0,234.91193144645544
248.5,235.12581050893576
249.0,235.33743621090747
249.5,235.54678080844795
250.0,235.75376748408476
250.5,235.95857455722924
251.0,236.16122478383025
251.5,236.36174068395223
252.0,236.56014454420543
252.5,236.75645842015138
253.0,236.95070413868353
253.5,237.1429033003836
254.0,237.33298411319348
254.5,237.5209704035697
255.0,237.7069771236678
255.5,237.891024941407
256.0,238.07313431046276
256.5,238.25332547247436
257.0,238.43161845922938
257.5,238.6080330948262
258.0,238.78258899781406
258.5,238.95517862782398
259.0,239.12590866700103
259.5,239.2948408103208
260.0,239.4619938292645
260.5,239.6273863007249
261.0,239.7910366090116
261.5,239.95296294783492
262.0,240.24813215032452
262.5,240.36072929590958
263.0,240.43111086992994
263.5,240.48422308369834
264.0,240.5202018187566
264.5,240.53918189514286
265.0,240.54129707963332
265.5,240.52668009392056
266.0,240.4954626227287
266.5,240.4477753218658
267.0,240.3833710036128
267.5,240.30163821461878
268.0,240.2038430054995
268.5,240.09011176295226
269.0,239.9605698863321
269.5,239.81534179531826
270.0,239.65455093752092
270.5,239.47831979602967
271.0,239.28676989690325
271.5,239.0793207254003
272.0,238.85610706418632
272.5,238.61795357142947
273.0,238.36497780244017
273.5,238.09729639416742
274.0,237.815025072329
274.5,237.51827865848733
275.0,237.2071710770705
275.5,236.88181536233873
276.0,236.54134536236842
276.5,236.18654099448554
277.0,235.8178409272928
277.5,235.4353545018128
278.0,235.03919020486754
278.5,234.62945567571117
279.0,234.2062577126111
279.5,233.7697022793784
280.0,233.31989451184847
280.5,232.85572528050693
281.0,232.37852900747845
281.5,231.88840819421551
282.0,231.38546454143136
282.5,230.86979895531744
283.0,230.34151155371228
283.5,229.80070167222337
284.0,229.2474678703013
284.5,228.68162368332463
285.0,228.10270786500655
285.5,227.51167545328184
286.0,226.9086217872221
286.5,226.2936414611031
287.0,225.66682833018783
287.5,225.02827551646467
288.0,224.37807541434128
288.5,223.71631969629513
289.0,223.04257045439965
289.5,222.35692936117655
290.0,221.66001849272925
290.5,220.9519265262239
291.0,220.23274144606611
291.5,219.50255054927956
292.0,218.7614404508434
292.5,218.00949708898892
293.0,217.24680573045427
293.5,216.4727129985625
294.0,215.68780721942244
294.5,214.89241930014853
295.0,214.086631721507
295.5,213.27052631990216
296.0,212.44418429238084
296.5,211.60768620159632
297.0,210.76111198073446
297.5,209.90454093840256
298.0,209.0371364091881
298.5,208.15990500667672
299.0,207.2729240522443
299.5,206.37627026323366
300.0,205.47001975764482
300.5,204.55424805878815
301.0,203.6290300999027
301.5,202.69444022873807
302.0,201.75033778678923
302.5,200.7963748355964
303.0,199.83327180248332
303.5,198.86110060592554
304.0,197.8799326025658
304.5,196.88983859157707
305.0,195.89088881899104
305.5,194.8831529819928
306.0,193.86670023318385
306.5,192.841200239261
307.0,191.8067296963009
307.5,190.7637578638022
308.0,189.71235163487046
308.5,188.6525773800316
309.0,187.58450095128873
309.5,186.50818768614872
310.0,185.42370241161777
310.5,184.33110944816468
311.0,183.22991592488512
311.5,182.12056564216513
312.0,181.00330821786594
312.5,179.87820587087506
313.0,178.74532033400908
313.5,177.60471285778905
314.0,176.45644421418504
314.5,175.30057470033177
315.0,174.137164142217
315.5,172.9655814061422
316.0,171.85951537556207
316.5,171.03179135162713
317.0,170.20815056889333
317.5,169.3891066659599
318.0,168.5746342076617
318.5,167.7647078985556
319.0,166.95930258215748
319.5,166.15849718219891
320.0,165.36247207037164
320.5,164.5708891215712
321.0,163.78372375940742
321.5,163.0009515424817
322.0,162.22254816365063
322.5,161.4484894492929
323.0,160.67875135858006
323.5,159.91330998275214
324.0,159.15233913905126
324.5,158.39581217919095
325.0,157.6435070164775
325.5,156.89540029346728
326.0,156.15146878101461
326.5,155.41168937757084
327.0,154.67603910848786
327.5,153.94449512532577
328.0,153.21703470516297
328.5,152.49391697175338
329.0,151.774928308168
329.5,151.05995200765724
330.0,150.34896587126727
330.5,149.64194782197922
331.0,148.93887590404412
331.5,148.2397282823205
332.0,147.5444832416159
332.5,146.8531191860323
333.0,146.16597167539408
333.5,145.4826586977173
334.0,144.80315903855399
334.5,144.1274515999806
335.0,143.7992458422739
335.5,143.7992458422739
336.0,143.7992458422739
336.5,143.7992458422739
337.0,143.7992458422739
337.5,143.7992458422739
338.0,143.7992458422739
338.5,143.7992458422739
339.0,143.7992458422739
339.5,143.7992458422739
340.0,143.7992458422739
340.5,143.7992458422739
341.0,143.7992458422739
341.5,143.7992458422739
342.0,143.7992458422739
342.5,143.7992458422739
343.0,143.7992458422739
343.5,143.7992458422739
344.0,143.7992458422739
344.5,143.7992458422739
345.0,143.7992458422739
345.5,143.7992458422739
346.0,143.7992458422739
346.5,143.7992458422739
347.0,143.7992458422739
347.5,143.7992458422739
348.0,143.7992458422739
348.5,143.7992458422739
349.0,143.7992458422739
349.5,143.7992458422739
350.0,143.7992458422739
350.5,143.7992458422739
351.0,143.7992458422739
351.5,143.7992458422739
352.0,143.7992458422739
352.5,143.7992458422739
353.0,143.7992458422739
353.5,143.7992458422739
354.0,143.7992458422739
354.5,143.7992458422739
355.0,143.7992458422739
355.5,143.7992458422739
356.0,143.7992458422739
356.5,143.7992458422739
357.0,143.7992458422739
357.5,143.7992458422739
358.0,143.7992458422739
358.5,143.7992458422739
359.0,143.7992458422739
359.5,143.7992458422739
360.0,143.7992458422739
360.5,143.7992458422739
361.0,143.7992458422739
361.5,143.7992458422739
362.0,143.7992458422739
362.5,143.7992458422739
363.0,143.7992458422739
363.5,143.7992458422739
364.0,143.7992458422739
364.5,143.7992458422739
365.0,143.7992458422739
365.5,143.7992458422739
366.0,143.7992458422739
366.5,143.7992458422739
367.0,143.7992458422739
367.5,143.7992458422739
368.0,143.7992458422739
368.5,143.7992458422739
369.0,143.7992458422739
369.5,143.7992458422739
370.0,143.7992458422739
370.5,143.7992458422739
371.0,143.7992458422739
371.5,143.7992458422739
372.0,143.7992458422739
372.5,143.7992458422739
